userId,date,region,gender,mean_list_time_in_24_hours,mean_list_time_in_3_days,mean_list_time_in_7_days,mean_list_time_in_14_days,acc_canc_downg_in_24_hours,acc_canc_downg_in_3_days,acc_canc_downg_in_7_days,acc_canc_downg_in_14_days,thumbs_up_down_in_24_hours,thumbs_up_down_in_3_days,thumbs_up_down_in_7_days,thumbs_up_down_in_14_days,login_logout_in_24_hours,login_logout_in_3_days,login_logout_in_7_days,login_logout_in_14_days,churned_today,will_churn_in_1day,will_churn_in_3days,will_churn_in_7days,will_churn_in_14days
"",2018-11-12,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,34.333333333333336,43.42857142857143,49.785714285714285,1,0,0,0,0
100010,2018-10-08,CT,F,222.91504387096776,222.91504387096776,222.91504387096776,222.91504387096776,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0
100012,2018-10-03,IL-IN-WI,M,232.94542621621622,232.94542621621622,232.94542621621622,232.94542621621622,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0,0
121,2018-10-12,CA,M,231.7680722222222,232.81535486111113,230.28600324074077,244.0576966443762,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.1666666666666667,-3.0,-2.0,-1.3333333333333333,-1.1666666666666667,1,0,0,0,0
127,2018-11-19,TX,F,257.4798838345865,250.46285145676694,239.35603541562242,239.35603541562242,1.0,0.5,0.3333333333333333,0.3333333333333333,6.0,7.5,5.333333333333333,5.333333333333333,-3.0,-3.0,-2.0,-2.0,1,0,0,0,0
146,2018-10-11,SC-NC,M,244.07726166666663,244.07726166666663,244.07726166666663,243.9627883500958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,-0.3333333333333333,1,0,0,0,0
146,2018-11-25,SC-NC,M,236.82566904761907,236.82566904761907,236.82566904761907,233.2231452813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
200009,2018-10-30,IL,M,262.7140929896907,251.40546008565266,250.03093454878638,248.3175769310297,3.0,1.3333333333333333,0.8333333333333334,0.7142857142857143,-1.0,-0.6666666666666666,0.16666666666666666,0.42857142857142855,-2.0,-1.6666666666666667,-1.8333333333333333,-1.8571428571428572,0,0,0,0,0
200011,2018-10-31,MO-IL,M,250.59606981481483,250.59606981481483,254.77780722346833,247.53058904260126,2.0,2.0,2.3333333333333335,2.0,-1.0,-1.0,0.3333333333333333,0.25,-1.0,-1.0,-1.3333333333333333,-1.0,0,0,1,1,1
200017,2018-11-02,NY-NJ-PA,M,255.65450588957063,251.86179191537357,251.15867480632747,251.48822369591772,3.0,2.0,1.3333333333333333,0.8,5.0,3.0,2.3333333333333335,1.8,-2.0,-1.5,-1.3333333333333333,-1.0,1,0,0,0,0
28,2018-10-29,OH,F,259.72595814606746,259.72595814606746,253.1303166286647,253.28676611195138,3.0,3.0,1.0,0.5,8.0,8.0,4.333333333333333,2.6666666666666665,-1.0,-1.0,-1.6666666666666667,-1.0,1,0,0,0,0
300023,2018-10-17,MA-NH,F,239.84281222222222,245.19683683276054,245.19683683276054,244.54511521583427,0.0,1.0,1.0,1.0,0.0,4.5,4.5,10.0,0.0,-1.0,-1.0,-0.6666666666666666,1,0,0,0,0
36,2018-11-19,MN-WI,F,243.46420815789475,243.46420815789475,247.67524297116296,231.6950284857111,0.0,0.0,0.5,0.4,0.0,0.0,4.5,4.8,-1.0,-1.0,-1.0,-1.2,1,0,0,0,0
4,2018-10-21,MD,M,220.48887607142848,233.01228960714283,246.3752717285714,240.04363995535712,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.2,0.125,-1.0,-0.3333333333333333,-0.4,-0.25,1,0,0,0,0
42,2018-11-24,VA,F,0.0,164.4399807462312,213.4134650493145,224.3260551734417,0.0,2.3333333333333335,1.4285714285714286,1.2,0.0,2.6666666666666665,2.0,2.3,0.0,-1.6666666666666667,-1.0,-1.0,1,0,0,0,0
53,2018-10-17,MS,M,229.77645768421056,233.07688986251347,240.6273997104775,257.80860904085597,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0
56,2018-11-28,LA,M,239.00187076923078,238.10669708222815,234.86036295056,237.84388184980972,2.0,2.3333333333333335,2.0,1.6,0.0,1.3333333333333333,1.0,1.4,-1.0,-1.0,-1.0,-0.8,1,0,0,0,0
85,2018-10-15,CA,M,246.03306382352935,246.03306382352935,244.44826684479057,249.02422274153213,0.0,0.0,0.8,0.36363636363636365,1.0,1.0,3.2,1.8181818181818181,0.0,0.0,-1.4,-1.0,1,0,0,0,0
9,2018-10-24,MA-NH,M,259.4391565486726,259.4391565486726,248.90636405156258,253.42213551778298,0.0,0.0,0.3333333333333333,0.8333333333333334,-2.0,-2.0,1.0,1.8333333333333333,-1.0,-1.0,-0.3333333333333333,-0.6666666666666666,1,0,0,0,0
90,2018-11-12,WA,M,171.2322,171.2322,171.2322,171.2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
